icao24,callsign,origin_country,time_position,last_contact,long,lat,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a8a87e,UAL934  ,United States,1718133093,1718133093,-0.0533,51.4392,1562.1,False,90.02,339.6,-2.6,NO DATA,1645.92,7656,False,0
3c5430,BCS6773 ,Germany,1718133093,1718133093,-0.4063,51.3108,2141.22,False,128.2,72.0,-2.28,NO DATA,2225.04,2213,False,0
3c654d,DLH6AF  ,Germany,1718133094,1718133094,-0.4578,51.3771,1455.42,False,143.51,137.91,7.8,NO DATA,1546.86,2024,False,0
4080e9,BAW37T  ,United Kingdom,1718133094,1718133094,0.0356,51.6483,2308.86,False,121.69,273.88,-2.28,NO DATA,2385.06,3574,False,0
500214,MEA203  ,San Marino,1718133094,1718133094,0.2895,51.6564,2689.86,False,141.92,263.34,-5.2,NO DATA,2758.44,0606,False,0
400942,BAW365  ,United Kingdom,1718132962,1718132963,-0.4609,51.4758,NO DATA,True,5.92,225.0,NO DATA,NO DATA,NO DATA,4066,False,0
a4c96c,JBU1107 ,United States,1718133094,1718133094,-0.1569,51.4781,861.06,False,90.55,270.65,-1.95,NO DATA,960.12,7645,False,0
490d05,NJE961G ,Portugal,1718132963,1718132963,0.0435,51.505,NO DATA,True,5.4,281.25,NO DATA,NO DATA,NO DATA,6351,False,0
40676a,CFE303  ,United Kingdom,1718132957,1718132957,0.0549,51.504,NO DATA,True,0.0,329.06,NO DATA,NO DATA,NO DATA,6007,False,0
780a18,CPA253  ,China,1718132873,1718132873,-0.4678,51.4749,NO DATA,True,3.6,106.88,NO DATA,NO DATA,NO DATA,3271,False,0
77058f,ALK503  ,Sri Lanka,1718133093,1718133093,-0.2995,51.478,480.06,False,85.4,270.0,-6.18,NO DATA,594.36,3253,True,0
780b46,CCA423  ,China,1718133094,1718133094,0.0316,51.5202,1295.4,False,102.37,180.0,-4.23,NO DATA,1394.46,7674,False,0
4077e0,SHT6U   ,United Kingdom,1718133093,1718133093,-0.4467,51.4667,NO DATA,True,6.43,90.0,NO DATA,NO DATA,NO DATA,NO DATA,False,0
40780e,BAW738  ,United Kingdom,1718133094,1718133094,-0.44,51.4667,NO DATA,True,6.17,90.0,NO DATA,NO DATA,NO DATA,NO DATA,False,0
