icao24,callsign,origin_country,time_position,last_contact,long,lat,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
4b1801,SWR12K  ,Switzerland,1718383342,1718383342,-0.4388,51.4677,NO DATA,True,7.72,90.0,NO DATA,NO DATA,NO DATA,5703,False,0
3c5ee9,EWG4TZ  ,Germany,1718383355,1718383355,0.2344,51.6179,3299.46,False,138.66,343.18,-4.88,NO DATA,3246.12,2542,False,0
3c65c9,DLH914  ,Germany,1718383289,1718383289,-0.4466,51.4757,NO DATA,True,6.69,151.88,NO DATA,NO DATA,NO DATA,3166,False,0
4008f1,BAW953L ,United Kingdom,1718383347,1718383347,-0.4359,51.4777,137.16,False,65.34,269.1,-2.93,NO DATA,83.82,6672,False,0
4080a4,EXS89WN ,United Kingdom,1718383356,1718383356,-0.4725,51.6623,10104.12,False,245.66,110.6,5.85,NO DATA,10058.4,0522,False,0
494103,NJE3JP  ,Portugal,1718383355,1718383355,-0.3874,51.5601,259.08,False,54.5,250.71,-3.25,NO DATA,190.5,6336,False,0
40087a,BAW33CE ,United Kingdom,1718383355,1718383356,0.1027,51.6287,3962.4,False,112.15,214.35,0.0,NO DATA,3909.06,2766,False,0
4b0294,SWR438A ,Switzerland,1718383092,1718383092,-0.4387,51.4677,NO DATA,True,6.43,90.0,NO DATA,NO DATA,NO DATA,NO DATA,False,0
40697c,SHT15H  ,United Kingdom,1718383355,1718383356,-0.2795,51.4781,701.04,False,80.25,269.63,-3.9,NO DATA,662.94,1107,False,0
40097f,SHT17Q  ,United Kingdom,1718383355,1718383355,-0.1588,51.4781,1158.24,False,93.63,270.31,-3.58,NO DATA,1112.52,6474,False,0
40097c,BAW8TP  ,United Kingdom,1718383355,1718383355,-0.0537,51.496,1638.3,False,86.95,234.15,-7.8,NO DATA,1592.58,1107,False,0
40095d,BAW792  ,United Kingdom,1718383355,1718383355,-0.4951,51.4648,541.02,False,79.74,270.0,10.73,NO DATA,480.06,3455,False,0
4ac9f9,SAS810  ,Sweden,1718383333,1718383333,-0.4344,51.4662,NO DATA,True,0.64,180.0,NO DATA,NO DATA,NO DATA,NO DATA,False,0
4077c4,LNX12MO ,United Kingdom,1718383335,1718383335,0.0354,51.323,NO DATA,True,0.0,14.06,NO DATA,NO DATA,NO DATA,NO DATA,False,0
44c062,PGC37H  ,Belgium,1718383136,1718383136,-0.5069,51.5907,198.12,False,41.29,239.28,-3.9,NO DATA,137.16,3161,False,0
